Price Date,Our Price and Margin,,,,,,,DB Price,,,,RSS Price,,,,BTD    Aug-24,BTD    Sep-24,BTD    Apr-25,BTD May-25,BTD Jun-25,PRODUCT NAME HALDIRAM ,Plant Name,Product Code,CL. Stk.    18-Aug,on passage,Physical stock (Stock + in Transit),Product life in months,Balance Qty,Exp Month as on 02Aug,MRP,Scheme % on basic 5Aug to 31aug,Scheme % on basic 12Aug to 31aug,Pickup,Pickup,LPT 220CB,LPT 260CB,LPT 260CB,Purchase Qty,Closing qty
15-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,7,,14,16,24,All In One 36 GM *8.6KG NGP,Central Ware House,FD012600360864000D,34,,34,5,0,Nov-25,10,,,,,,,,,34
15-Jul-25,6.9391,12,252,1958.4916,2.1689,1.58,3.75,7.1993,12,252,2031.93,7.0896,12,252,2000.97,58,61,61,74,62,Aloo Bhujia MRP 10|42 GM*10.584 KG,Hariomkar,FD092100421058400D,17,24,41,5,0,Nov-25,10,3,,,,,,,,17
15-Jul-25,6.9391,12,264,2051.7531,2.1689,1.58,3.75,7.1993,12,264,2128.69,7.0896,12,264,2096.25,240,122,203,229,210,Bhujia 35 GM*9.24 KG NGP,Kasana-2,FD092200350924001D,163,48,211,6,0,Dec-25,10,3,,,,,,,,163
29-Jul-25,6.9391,12,180,1398.9226,2.1689,1.58,3.75,7.1993,12,180,1451.38,7.0896,12,180,1429.26,1,2,1,,-,Chana Jor Garam MRP 10|50 GM*9 KG NGP,Central Ware House,FFD020400500900000D,5,,5,6,0,Jan-26,10,3,,,,,,,,5
15-Jul-25,6.9391,12,384,2984.3681,2.1689,1.58,3.75,7.1993,12,384,3096.27,7.0896,12,384,3049.10,7,1,4,-,5,Chatpata Matar MRP 10|30GM*11.52KG NGP,Hariomkar,FE020800301152000D,16,,16,6,0,Dec-25,10,3,,,,,,,,16
22-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,5,13,1,,-,Cornflakes Mixture MRP 10|25 GM*6 KG NGP,Central Ware House,FD025500250600000D,19,,19,5,0,Dec-25,10,,,,,,,,,19
29-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,,,,,,Falahari Chiwda MRP 10|40GM*9.6KG,Central Ware House,FD028500400960000D,7,,7,5,0,Dec-25,10,,,,,,,,,7
16-Jul-25,6.9391,12,204,1585.4456,2.1689,1.58,3.75,7.1993,12,204,1644.90,7.0896,12,204,1619.83,342,356,292,287,292,Instant Bhel MRP 10|44 GM*8.976 KG,Central Ware House,FD040800440897600D,108,84,192,5,0,Dec-25,10,,,,,,,,,108
15-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,41,32,48,60,47,Khatta Meetha MRP 10|50 GM*12 KG NGP,Central Ware House,FD045900501200000D,49,,49,4,0,Aug-25,10,3,,,,,,,,49
15-Jul-25,6.9391,12,180,1398.9226,2.1689,1.58,3.75,7.1993,12,180,1451.38,7.0896,12,180,1429.26,569,497,997,1048,817,Lite Chiwda MRP 10|45GM*8.1KG,Central Ware House,FD047900450810000D,483,200,683,4,0,Nov-25,10,3,,,,,,,,483
08-Aug-25,6.9391,12,300,2331.5376,2.1689,1.58,3.75,7.1993,12,300,2418.96,7.0896,12,300,2382.11,,,,,,Masala Peanut MRP 10|38 GM*11.4 KG,,FE056100381140000D,,,0,,0,,10,3,,,,,,,,0
15-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,12,9,25,25,24,Mini Bhakharwadi MRP 10|35 GM*8.4 KG,Central Ware House,FD058800350840000D,20,,20,5,0,Dec-25,10,,,,,,,,,20
16-Jul-25,6.9391,12,144,1119.1380,2.1689,1.58,3.75,7.1993,12,144,1161.10,7.0896,12,144,1143.41,252,282,501,642,559,Mini Punjabi Papad MRP10|25GM*3.6KG NGP,Central Ware House,FD059100250360000D,225,,225,4,0,Nov-25,10,3,,,,,,,,225
15-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,24,45,49,59,19,Mixture MRP 10|48 GM*11.52 KG NGP,Central Ware House,FD059900481152000D,50,,50,5,0,Dec-25,10,,,,,,,,,50
18-Jul-25,6.9391,12,336,2611.3221,2.1689,1.58,3.75,7.1993,12,336,2709.24,7.0896,12,336,2667.96,103,123,119,127,26,Moong Dal MRP 10|35 GM*11.76 KG NGP,Hariomkar,FD060300351176000D,99,,99,7,0,Jan-26,10,,,,,,,,,99
16-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,11,8,,10,21,Navratan Mix MRP 10|30GM*7.2KG NGP,Central Ware House,FD061700300720000D,9,,9,12,0,Jul-26,10,,,,,,,,,9
15-Jul-25,6.9391,12,300,2331.5376,2.1689,1.58,3.75,7.1993,12,300,2418.96,7.0896,12,300,2382.11,227,184,220,631,374,Panchrattan MRP 10|25 GM*7.5 KG NGP,Central Ware House,FD063100250750001D,172,120,292,4,0,Nov-25,10,,,,,,,,,172
15-Jul-25,6.9391,12,156,1212.3996,2.1689,1.58,3.75,7.1993,12,156,1257.86,7.0896,12,156,1238.69,162,65,202,210,60,Papad Chavanu MRP 10|45GM*7.02KG,Central Ware House,FD063800450702000D,325,,325,5,0,Dec-25,10,,,,,,,,,325
15-Jul-25,6.9391,12,144,1119.1380,2.1689,1.58,3.75,7.1993,12,144,1161.10,7.0896,12,144,1143.41,1,9,4,51,9,Papdi Gathiya MRP 10|42 GM*6.048 KG,Central Ware House,FD073700420604800D,,,0,4,0,Dec-25,10,,,,,,,,,0
15-Jul-25,6.9391,12,204,1585.4456,2.1689,1.58,3.75,7.1993,12,204,1644.90,7.0896,12,204,1619.83,81,98,49,114,64,Punjabi Tadka MRP 10|45GM*9.18KG,Hariomkar / Gaya,FD075200450918000D,14,18,32,12,0,Jul-26,10,3,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,Ratlami Sev MRP 10|45GM*10.26KG,,,2,,2,,0,Dec-25,10,,,,,,,,,2
,,,,0.0000,,,,,,,,,,,0.00,-,,1,-,-,Rice Coduble MRP 10|30 GM*7.2 KG NGP,-,FD077100300720000D,,,0,4,0,,10,,,,,,,,,0
15-Jul-25,7.4017,5,240,1865.2284,2.1684,1.58,3.75,7.6793,5,240,1935.18,7.5622,5,240,1905.67,3,5,,-,12,Roasted Chana MRP 10|42 GM*10.08 KG,Central Ware House,FE077300421008000D,15,,15,6,0,Jan-26,10,3,,,,,,,,15
15-Jul-25,6.9391,12,300,2331.5376,2.1689,1.58,3.75,7.1993,12,300,2418.96,7.0896,12,300,2382.11,35,17,37,50,44,Roasted Crushed Peanut 35GM*10.5KG,Central Ware House,FE081200351050003D,40,,40,4,0,Nov-25,10,,,,,,,,,40
15-Jul-25,6.9391,12,300,2331.5376,2.1689,1.58,3.75,7.1993,12,300,2418.96,7.0896,12,300,2382.11,99,85,36,123,53,Salted Peanut MRP 10|34GM*10.2KG NGP,Central Ware House,FE081200341020002D,57,36,93,4,0,Nov-25,10,3,,,,,,,,57
15-Jul-25,6.9391,12,108,839.3535,2.1689,1.58,3.75,7.1993,12,108,870.83,7.0896,12,108,857.56,,,31,-,-,Sev Murmura MRP 10|60.5GM*6.534KG,Hariomkar,FD050200610653400D,,,0,4,0,,10,,,,,,,,,0
08-Aug-25,6.9391,12,144,1119.1380,2.1718,1.58,3.75,7.1993,12,144,1161.10,7.0898,12,144,1143.44,5,7,1,,-,Soya Chips MRP 10|45 GM*6.48 KG NGP,Hariomkar,FD084100450810000D,47,,47,5,0,Dec-25,10,,,,,,,,,47
15-Jul-25,6.9391,12,144,1119.1380,2.1689,1.58,3.75,7.1993,12,144,1161.10,7.0896,12,144,1143.41,24,4,,32,92,Soya Sticks MRP 10|42 GM*6.048 KG NGP,Hariomkar,FD084200420604800D,29,,29,5,0,Nov-25,10,3,,,,,,,,29
15-Jul-25,6.9391,12,240,1865.2301,2.1689,1.58,3.75,7.1993,12,240,1935.17,7.0896,12,240,1905.68,59,76,65,65,74,Tasty Nuts MRP 10|38GM*9.12KG NGP,Central Ware House,FE089200380912000D,46,,46,5,0,Dec-25,10,3,,,,,,,,46
15-Jul-25,41.7351,12,60,2804.5987,1.9228,1.58,3.50,43.1958,12,60,2902.76,42.5376,12,60,2858.53,13,8,19,14,15,All In One 200 GM*12 KG NGP,Central Ware House,FD012602001200000D,39,,39,6,0,Dec-25,60,3,,,,,,,,39
15-Jul-25,79.9922,12,30,2687.7379,1.9231,1.58,3.50,82.7919,12,30,2781.81,81.5305,12,30,2739.42,33,25,25,34,24,All In One 400 GM*12 KG NGP,Central Ware House,FD012604001200001D,33,,33,6,0,Dec-25,115,3,,,,,,,,33
15-Jul-25,38.2571,12,50,2142.3976,1.9233,1.58,3.50,39.5961,12,50,2217.38,38.9929,12,50,2183.60,20,38,39,41,19,Aloo Bhujia 200 GM*10 KG,Hariomkar,FD092102001000000D,31,,31,6,0,Dec-25,55,,,,,,,,,31
18-Jul-25,69.5584,12,31,2415.0676,1.9233,1.58,3.50,71.9930,12,31,2499.60,70.8962,12,31,2461.52,72,28,33,48,15,Aloo Bhujia 400 GM*12.4 KG NGP,Hariomkar,FD092104001240000D,55,,55,6,0,Dec-25,100,,,,,,,,,55
15-Jul-25,41.7351,12,60,2804.5987,1.9228,1.58,3.50,43.1958,12,60,2902.76,42.5376,12,60,2858.53,199,97,121,114,111,Bhujia 200 GM*12 KG NGP,Kasana-2,FD092202001200000D,112,,112,7,0,Jan-26,60,3,,,,,,,,112
15-Jul-25,83.4701,12,30,2804.5954,1.9232,1.58,3.50,86.3916,12,30,2902.76,85.0754,12,30,2858.53,366,252,241,290,200,Bhujia 400 GM*12 KG NGP,Kasana-2,FD092204001200000D,209,,209,12,0,Jun-26,120,3,,,,,,,,209
15-Jul-25,121.7273,12,20,2726.6915,1.9231,1.58,3.50,125.9877,12,20,2822.12,124.0682,12,20,2779.13,12,41,1,-,2,Bhujia 600 GM*12 KG NGP,Kasana-2,FD092206001200000D,,,0,7,0,,175,3,,,,,,,,0
15-Jul-25,201.7195,12,12,2711.1101,1.9231,1.58,3.50,208.7797,12,12,2806.00,205.5987,12,12,2763.25,369,271,239,338,236,Bhujia 1 KG*12 KG NGP,Kasana-2,FD092210001200002D,295,,295,7,0,Dec-25,290,3,,,,,,,,295
15-Jul-25,38.2571,12,50,2142.3976,1.9233,1.58,3.50,39.5961,12,50,2217.38,38.9929,12,50,2183.60,43,32,35,41,27,Khatta Meetha 200GM*10KG NGP,Central Ware House,FD045902001000000D,40,,40,4,0,Nov-25,55,3,,,,,,,,40
15-Jul-25,66.0805,12,30,2220.3048,1.9230,1.58,3.50,68.3933,12,30,2298.01,67.3512,12,30,2263.00,75,65,52,60,53,Khatta Meetha 400 GM*12 KG NGP,Central Ware House,FD045904001200000D,88,,88,4,0,Oct-25,95,3,,,,,,,,88
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Nov-25,45,,,,,,,,,0
19-Jul-25,31.3013,12,60,2103.4474,1.9232,1.58,3.50,32.3968,12,60,2177.06,31.9033,12,60,2143.90,59,49,33,30,49,Lite Chiwda 200 GM*12 KG NGP,Central Ware House,FD047902001200000D ,51,,51,6,0,Jan-26,45,,,,,,,,,51
15-Jul-25,45.2130,12,40,2025.5424,1.9231,1.58,3.50,46.7954,12,40,2096.43,46.0825,12,40,2064.50,14,5,11,9,5,Mini Bhakharwadi 200 GM*8 KG,Central Ware House,FD058802000800001D,8,,8,6,0,Dec-25,65,3,,,,,,,,8
08-Aug-25,45.2130,12,24,1215.3254,1.9231,1.59,3.51,46.8000,12,24,1257.98,46.0825,12,24,1238.70,,,,,,Mini Bhakharbadi 200 GM*4.8 KG,,FD058802000480000D,12,,12,6,0,Jan-26,65,,,,,,,,,12
15-Jul-25,31.3013,12,60,2103.4474,1.9232,1.58,3.50,32.3968,12,60,2177.06,31.9033,12,60,2143.90,19,30,32,29,17,Mixture 200 GM*12 KG NGP,Central Ware House,FD059902001200000D,47,,47,6,0,Dec-25,45,3,,,,,,,,47
15-Jul-25,61.2114,12,30,2056.7030,1.9232,1.58,3.50,63.3538,12,30,2128.69,62.3886,12,30,2096.26,38,38,43,37,18,Mixture 400 GM*12 KG NGP,Central Ware House,FD059904001200000D,41,,41,6,0,Jan-26,88,3,,,,,,,,41
29-Jul-25,41.3283,12,62,2869.8372,2.9261,1.59,4.52,43.1958,12,62,2999.52,42.5376,12,62,2953.81,40,20,21,41,-,Moong Dal 200 GM*12.4 KG NGP ,Hariomkar,FD060302001240000D,41,,41,8,0,Mar-26,60,,,,,,,,,41
15-Jul-25,83.4701,12,30,2804.5954,1.9232,1.58,3.50,86.3916,12,30,2902.76,85.0754,12,30,2858.53,42,47,34,44,34,Moong Dal 400 GM*12 KG NGP,Hariomkar,FD060304001200000D,56,,56,8,0,Mar-26,120,,,,,,,,,56
15-Jul-25,31.3013,12,48,1682.7579,1.9232,1.58,3.50,32.3968,12,48,1741.65,31.9033,12,48,1715.12,3,4,7,5,14,Papdi Gathiya 200 GM*9.6 KG NGP,Central Ware House,FD073702000960000D,,,0,6,0,,45,,,,,,,,,0
29-Jul-25,31.3013,12,40,1402.2982,1.9232,1.58,3.50,32.3968,12,40,1451.38,31.9033,12,40,1429.27,6,4,4,2,1,Papad Chavanu 200 GM*8 KG,Central Ware House,FD063802000800000D,1,,1,5,0,Dec-25,45,3,,,,,,,,1
15-Jul-25,63.6913,12,60,4280.0554,1.9232,1.58,3.50,65.9205,12,60,4429.86,64.9162,12,60,4362.37,5,40,12,41,35,Panchrattan 200 GM*12 KG NGP,Central Ware House,FD063102001200000D,66,,66,4,0,Nov-25,90,3,,,,,,,,66
15-Jul-25,38.2571,12,60,2570.8771,1.9233,1.58,3.50,39.5961,12,60,2660.86,38.9929,12,60,2620.32,6,16,7,8,4,Salted Peanut 200 GM*12 KG NGP,Central Ware House,FE081202001200000D,20,,20,3,0,Oct-25,55,3,,,,,,,,20
31-Jul-25,38.2572,12,60,2570.8838,1.9230,1.58,3.50,39.5961,12,60,2660.86,38.9929,12,60,2620.32,11,3,12,17,7,Punjabi Tadka 200 GM*12 KG NGP,Hariomkar,FD075202001200000D,20,,20,6,0,Jan-26,55,,,,,,,,,20
18-Jul-25,31.3013,12,60,2103.4474,1.9232,1.58,3.50,32.3963,12,60,2177.03,31.9033,12,60,2143.90,10,,,7,5,Soya Sticks 200 GM*12 KG NGP,Hariomkar,FD084202001200000D,24,,24,12,0,Jul-26,45,,,,,,,,,24
15-Jul-25,38.2571,12,60,2570.8771,1.9233,1.58,3.50,39.5961,12,60,2660.86,38.9929,12,60,2620.32,,6,8,9,8,Tasty Nuts 200 GM*12 KG NGP,Central Ware House,FE089202001200000D,22,,22,6,0,Jan-26,55,3,,,,,,,,22
15-Jul-25,73.0364,12,30,2454.0230,1.9230,1.58,3.50,75.5926,12,30,2539.91,74.4409,12,30,2501.21,2,1,2,3,1,Tasty Nuts 400 GM*12 KG NGP,Central Ware House,FE089204001200000D,23,,23,6,0,Dec-25,105,3,,,,,,,,23
22-Jul-25,34.5543,12,60,2322.0490,2.5864,1.59,4.17,35.9965,12,60,2418.96,35.4480,12,60,2382.11,7,2,6,4,-,Dal Biji 200 Gm*4.8Kg,Central Ware House,FD026002001200000D,10,,10,6,0,,,3,,,,,,,,10
22-Jul-25,34.7792,12,40,1558.1082,1.9230,1.58,3.50,35.9965,12,40,1612.64,35.4480,12,40,1588.07,-,,-,-,-,Jeera Stick 150 GM*6 KG,Central Ware House,FD042201500600000D,,,0,4,0,,50,,,,,,,,,0
15-Jul-25,34.7792,12,60,2337.1622,1.9230,1.58,3.50,35.9965,12,60,2418.96,35.4480,12,60,2382.11,,6,5,-,-,Golden Mixture 200 GM*12 KG NGP,Central Ware House,FD038502001200000D,,,0,6,0,,50,,,,,,,,,0
15-Jul-25,36.3319,12,60,2441.5037,1.9228,1.58,3.50,37.6035,12,60,2526.96,37.0305,12,60,2488.45,7,17,30,27,16,Roasted Salted Cashew 35 GM*2.1 KG NGP,Central Ware House,FE077800350210000D,32,,32,5,0,Nov-25,50,,,,,,,,,32
,,,,0.0000,,,,,,,,,,,0.00,-,,5,9,-,Cookie H. Ajwain Cookies 150GM*3.6KG NGP,Central Ware House,FA561601500360002D,,,0,6,0,,60,,,,,,,,,0
,,,,0.0000,,,,,,,,,,,0.00,,,,,,Cookie H. kaju 150 GM*3.6 KG,Central Ware House,,,,0,,0,,60,,,,,,,,,0
22-Jul-25,40.1079,18,24,1135.8557,2.4160,1.58,4.00,41.7124,18,24,1181.30,41.0769,18,24,1163.30,-,,6,9,-,Cookie H. Jeera 150 GM*3.6 KG,Central Ware House,FA197501500360000D,,,0,6,0,,60,,,,,,,,,0
15-Jul-25,45.2130,12,20,1012.7712,1.9231,1.58,3.50,46.7954,12,20,1048.22,46.0825,12,20,1032.25,20,18,7,28,14,Mini Samosa 200 GM*4 KG NGP,Central Ware House,FD059302000400000D,18,,18,6,0,Dec-25,65,3,,,,,,,,18
31-Jul-25,45.2130,12,24,1215.3254,1.9231,1.59,3.51,46.8000,12,24,1257.98,46.0825,12,24,1238.70,27,12,,51,4,Murukku (Chakoli)200 GM*4.8 KG,Central Ware House,FD019302000800001D,28,,28,6,0,Jan-26,65,3,,,,,,,,28
29-Jul-25,45.2130,12,20,1012.7712,1.9231,1.58,3.50,46.7954,12,20,1048.22,46.0825,12,20,1032.25,,,,,,Mathri 200 GM*4 KG NGP,Central Ware House,FD057102000400000D,22,,22,6,0,Jan-26,65,3,,,,,,,,22
15-Jul-25,48.6909,12,20,1090.6762,1.9232,1.58,3.50,50.3951,12,20,1128.85,49.6273,12,20,1111.65,9,2,10,10,10,Gol Kachauri 200 GM*4 KG,Central Ware House,FD038202000400000D,24,,24,6,0,Dec-25,70,3,,,,,,,,24
,,,,0.0000,,,,,,,,,,,0.00,,,,2,-,Dry Fruit Mix 200 GM*12 KG NGP,-,FD027902001200000D,,,0,6,0,,110,3,,,,,,,,0
19-Jul-25,7.6317,5,60,480.7971,1.9209,1.58,3.50,7.8987,5,60,497.62,7.7783,5,60,490.03,-,,35,100,-,Bread Toast Classic 70 GM * 4.2KG,Central Ware House,FA558800700420000D ,37,,37,5,0,,10,,,,,,,,,37
,,,,0.0000,,,,,,,,,,,0.00,-,,27,20,10,Elaichi Bread Toast 150 GM*4.5 KG NGP,Central Ware House,FA197401500450001D,,100,100,5,0,,25,,,,,,,,,0
,,,,0.0000,,,,,,,,,,,0.00,-,,,,-,Milk Bread Toast 150 GM*4.5 KG NGP,Central Ware House,FA058601500450001D,,,0,,0,,25,,,,,,,,,0
